"filename", "language", "JavaScript", "JSON", "Markdown", "TypeScript", "HTML", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\alexkar598\Desktop\microtransaction\.eslintrc.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 31, 14, 85
"c:\Users\alexkar598\Desktop\microtransaction\.postcssrc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\alexkar598\Desktop\microtransaction\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alexkar598\Desktop\microtransaction\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\alexkar598\Desktop\microtransaction\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\alexkar598\Desktop\microtransaction\package-lock.json", "JSON", 0, 15525, 0, 0, 0, 0, 0, 0, 0, 1, 15526
"c:\Users\alexkar598\Desktop\microtransaction\package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\alexkar598\Desktop\microtransaction\public\icons\paypal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 63, 1, 1, 65
"c:\Users\alexkar598\Desktop\microtransaction\public\icons\youtube.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 68, 1, 1, 70
"c:\Users\alexkar598\Desktop\microtransaction\quasar.conf.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 72, 32, 206
"c:\Users\alexkar598\Desktop\microtransaction\src\App.vue", "Vue", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\alexkar598\Desktop\microtransaction\src\components\rickroll.vue", "Vue", 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\Users\alexkar598\Desktop\microtransaction\src\components\shoppingList.vue", "Vue", 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\alexkar598\Desktop\microtransaction\src\css\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\alexkar598\Desktop\microtransaction\src\css\quasar.variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 10, 7, 25
"c:\Users\alexkar598\Desktop\microtransaction\src\env.d.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\alexkar598\Desktop\microtransaction\src\index.template.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 1, 5, 31
"c:\Users\alexkar598\Desktop\microtransaction\src\layouts\MainLayout.vue", "Vue", 0, 0, 0, 0, 0, 134, 0, 0, 0, 19, 153
"c:\Users\alexkar598\Desktop\microtransaction\src\misc.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\alexkar598\Desktop\microtransaction\src\pages\Error404.vue", "Vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\alexkar598\Desktop\microtransaction\src\pages\Index.vue", "Vue", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\alexkar598\Desktop\microtransaction\src\pages\checkout.vue", "Vue", 0, 0, 0, 0, 0, 117, 0, 0, 0, 8, 125
"c:\Users\alexkar598\Desktop\microtransaction\src\pages\itemshop.vue", "Vue", 0, 0, 0, 0, 0, 64, 0, 0, 0, 9, 73
"c:\Users\alexkar598\Desktop\microtransaction\src\router\index.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 5, 21
"c:\Users\alexkar598\Desktop\microtransaction\src\router\routes.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 2, 5, 23
"c:\Users\alexkar598\Desktop\microtransaction\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\alexkar598\Desktop\microtransaction\src\store.ts", "TypeScript", 0, 0, 0, 252, 0, 0, 0, 0, 0, 5, 257
"c:\Users\alexkar598\Desktop\microtransaction\tsconfig.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 152, 15581, 20, 303, 25, 459, 14, 131, 126, 158, 16969